player,date,opponent,pitcher,inning,distance_ft,exit_velocity_mph,launch_angle_deg,pitch_type,pitch_speed_mph,game_pk,mlbam_id,status
Yordan Alvarez,2026-08-29,NYM,"Alvarez, Yordan",Top 8,436.0,113.4,23.0,FC,90.5,823582,670541,OK
Kyle Schwarber,2026-08-26,SEA,"Schwarber, Kyle",Top 2,425.0,104.8,27.0,FF,98.8,823096,656941,OK
Hunter Goodman,2026-08-26,WSH,"Goodman, Hunter",Top 8,435.0,108.8,25.0,SL,85.6,822692,696100,OK
Ben Rice,2026-08-26,HOU,"Rice, Ben",Bot 1,364.0,107.4,23.0,FF,94.6,823506,700250,OK
Junior Caminero,2026-08-30,SD,"Caminero, Junior",Bot 4,440.0,111.3,24.0,FF,92.2,822933,691406,OK
James Wood,2026-07-26,AZ,"Wood, James",Bot 8,418.0,109.6,25.0,SL,84.1,822706,695578,OK
Matt Olson,2026-08-26,LAD,"Olson, Matt",Bot 1,400.0,110.4,25.0,SL,87.8,824878,621566,OK
Byron Buxton,2026-06-22,LAD,"Buxton, Byron",Bot 1,394.0,106.8,35.0,FF,98.4,823692,621439,OK
CJ Abrams,2026-08-11,CHC,"Abrams, CJ",Bot 1,364.0,96.4,31.0,ST,79.2,822697,682928,OK
Colson Montgomery,2026-08-31,HOU,"Montgomery, Colson",Top 7,378.0,115.4,19.0,FF,94.4,824149,695657,OK
Shea Langeliers,2026-07-21,AZ,"Langeliers, Shea",Top 8,444.0,110.7,25.0,SL,77.9,825056,669127,OK
Willson Contreras,2026-08-21,SF,"Contreras, Willson",Bot 3,452.0,116.0,30.0,CH,85.2,824721,575929,OK
Dillon Dingler,2026-08-06,SEA,"Dingler, Dillon",Top 1,401.0,101.3,27.0,FC,91.8,823105,693307,OK
Manny Machado,2026-08-18,NYM,"Machado, Manny",Top 9,397.0,101.2,35.0,FF,96.9,823586,592518,OK
Shohei Ohtani,2026-08-18,COL,"Ohtani, Shohei",Top 3,448.0,105.6,33.0,CU,77.2,824319,660271,OK
Kazuma Okamoto,2026-08-30,SEA,"Okamoto, Kazuma",Bot 6,405.0,107.7,38.0,SL,84.1,822766,672960,OK
Jordan Walker,2026-09-01,LAD,"Walker, Jordan",Top 4,409.0,109.3,20.0,FF,97.5,823908,691023,OK
Pete Alonso,2026-09-03,BOS,"Alonso, Pete",Bot 4,392.0,101.5,33.0,CH,84.1,824796,624413,OK
Pete Crow-Armstrong,2026-09-03,MIL,"Crow-Armstrong, Pete",Bot 3,413.0,104.3,27.0,CH,84.1,824632,691718,OK
Luis García Jr.,2026-08-26,HOU,"García Jr., Luis",Bot 8,354.0,99.5,38.0,CH,86.0,823506,671277,OK
Bryce Harper,2026-08-26,SEA,"Harper, Bryce",Top 1,388.0,106.4,30.0,FF,98.0,823096,547180,OK
Brandon Lowe,2026-09-01,SF,"Lowe, Brandon",Bot 7,411.0,103.7,30.0,FF,94.1,823340,664040,OK
Juan Soto,2026-09-02,TB,"Soto, Juan",Top 8,383.0,111.8,20.0,SI,96.6,822931,665742,OK
Sal Stewart,2026-08-30,CHC,"Stewart, Sal",Top 7,418.0,101.7,28.0,ST,82.2,824636,701398,OK
Miguel Vargas,2026-08-21,NYM,"Vargas, Miguel",Bot 6,405.0,104.9,27.0,ST,75.1,824559,678246,OK
Rafael Devers,2026-09-02,PIT,"Devers, Rafael",Top 1,415.0,103.8,33.0,SL,91.7,823339,646240,OK
Nick Kurtz,2026-07-26,MIN,"Kurtz, Nick",Top 6,412.0,104.1,28.0,FS,86.6,823678,701762,OK
Max Muncy,2026-08-21,PIT,"Muncy, Max",Bot 1,392.0,104.3,40.0,FF,100.7,823911,571970,OK
Munetaka Murakami,2026-08-18,CHC,"Murakami, Munetaka",Top 3,440.0,111.1,39.0,FF,92.5,824639,808959,OK
Casey Schmitt,2026-07-24,LAA,"Schmitt, Casey",Bot 3,412.0,105.9,27.0,FF,96.3,823196,669477,OK
Christian Walker,2026-08-27,NYY,"Walker, Christian",Top 6,369.0,100.0,35.0,KC,84.7,823503,572233,OK
